area_name,year,analysis
Dashela,2022,Built-up area: 22.6% (medium growth class) | Built-up increased by 0.6 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.38) | Night-time light intensity is low (3.9)
Dashela,2023,Built-up area: 23.1% (medium growth class) | Built-up increased by 0.4 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.38) | Night-time light intensity is low (5.2)
Dashela,2024,Built-up area: 24.1% (medium growth class) | Built-up increased by 1.0 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.40) | Night-time light intensity is low (6.2)
Dholakuva,2016,Built-up area: 21.8% (medium growth class) | First historical year available. | Vegetation cover is low (NDVI 0.22) | Night-time light intensity is low (5.0)
Dholakuva,2017,Built-up area: 22.2% (medium growth class) | Built-up increased by 0.4 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.49) | Night-time light intensity is low (6.0)
Dholakuva,2018,Built-up area: 25.3% (medium growth class) | Built-up increased by 3.0 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.48) | Night-time light intensity is low (5.9)
Dholakuva,2019,Built-up area: 22.9% (medium growth class) | Built-up decreased by 2.3 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.38) | Night-time light intensity is low (6.6)
Dholakuva,2020,Built-up area: 24.0% (medium growth class) | Built-up increased by 1.0 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.47) | Night-time light intensity is low (6.9)
Dholakuva,2021,Built-up area: 24.1% (medium growth class) | Built-up increased by 0.1 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.44) | Night-time light intensity is low (9.0)
Dholakuva,2022,Built-up area: 25.2% (medium growth class) | Built-up increased by 1.1 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.43) | Night-time light intensity is low (11.9)
Dholakuva,2023,Built-up area: 25.7% (medium growth class) | Built-up increased by 0.5 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.46) | Night-time light intensity is low (11.7)
Dholakuva,2024,Built-up area: 25.2% (medium growth class) | Built-up decreased by 0.5 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.50) | Night-time light intensity is low (12.2)
GIDC Electronic Estate,2016,Built-up area: 39.8% (medium growth class) | First historical year available. | Vegetation cover is low (NDVI 0.19) | Night-time light intensity is low (7.6)
GIDC Electronic Estate,2017,Built-up area: 43.0% (high growth class) | Built-up increased by 3.2 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.36) | Night-time light intensity is low (8.8)
GIDC Electronic Estate,2018,Built-up area: 43.1% (high growth class) | Built-up increased by 0.1 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.36) | Night-time light intensity is low (9.2)
GIDC Electronic Estate,2019,Built-up area: 42.8% (high growth class) | Built-up decreased by 0.3 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.31) | Night-time light intensity is low (10.0)
