grid_id,year,grid_row,grid_col,grid_row_norm,grid_col_norm,dist_to_centre_norm,built_percent,ndvi_mean,nighttime_mean,nighttime_norm,built_change,ndvi_change,night_change,built_change_avg,ndvi_change_avg,night_change_avg,night_change_avg_norm,ntl_vs_built,built_percent_lag1,built_percent_lag2,nighttime_norm_lag1,nighttime_norm_lag2,built_change_avg_lag2,neighbor_built_avg,neighbor_ntl_avg,neighbor_ndvi_avg,center_lat,center_lon,area_name,dist_to_highway,road_density,intersection_density,population_density,population_density_norm,growth_class
grid_0_3,2017,0,3,0,0.333333333,0.745355992,0.212185,0.36989,5.026177,0.080347385,0.016235,0,1.384263,0.0081175,-0.005575,0.579097,0.244704085,0.378664876,0.19595,0.19595,0,0,0,0.2748964,0.148401516,0.4167808,23.185,72.6525,Randesan,1532.631005,0.001537519,5.10E-06,9.189125061,0.190217323,medium
grid_0_3,2018,0,3,0,0.333333333,0.745355992,0.24547,0.367749,5.533033,0.109767051,0.033285,-0.002141,0.506856,0.016506667,-0.004430333,0.555016667,0.237385648,0.447169119,0.212185,0.19595,0.080347385,0,0,0.2978668,0.15929599,0.4034846,23.185,72.6525,Randesan,1532.631005,0.001537519,5.10E-06,9.755045891,0.203573618,medium
grid_0_3,2019,0,3,0,0.333333333,0.745355992,0.226642,0.301986,6.606704,0.172086608,-0.018828,-0.065763,1.073671,0.010230667,-0.022634667,0.988263333,0.369056917,0.759284903,0.24547,0.212185,0.109767051,0.080347385,0.0081175,0.2861242,0.234835585,0.3328444,23.185,72.6525,Randesan,1532.631005,0.001537519,5.10E-06,9.608415604,0.200112997,medium
grid_0_3,2020,0,3,0,0.333333333,0.745355992,0.241729,0.365921,9.814854,0.358298668,0.015087,0.063935,3.20815,0.009848,-0.001323,1.596225667,0.553827345,1.482226732,0.226642,0.24547,0.172086608,0.109767051,0.016506667,0.2973098,0.321395525,0.397763,23.185,72.6525,Randesan,1532.631005,0.001537519,5.10E-06,9.127542496,0.188763914,medium
grid_0_3,2021,0,3,0,0.333333333,0.745355992,0.26038,0.352411,11.677499,0.46641299,0.018651,-0.01351,1.862645,0.00497,-0.005112667,2.048155333,0.691176706,1.791271213,0.241729,0.226642,0.358298668,0.172086608,0.010230667,0.3138304,0.49637683,0.3803392,23.185,72.6525,Randesan,1532.631005,0.001537519,5.10E-06,6.547572374,0.127874051,medium
grid_0_3,2022,0,3,0,0.333333333,0.745355992,0.279066,0.333277,14.640905,0.638419266,0.018686,-0.019134,2.963406,0.017474667,0.010430333,2.678067,0.882617922,2.287691722,0.26038,0.241729,0.46641299,0.358298668,0.009848,0.3370864,0.747105009,0.3595462,23.185,72.6525,Randesan,1532.631005,0.001537519,5.10E-06,6.547572374,0.127874051,high
grid_0_3,2023,0,3,0,0.333333333,0.745355992,0.298154,0.344034,18.45776,0.859962657,0.019088,0.010757,3.816855,0.018808333,-0.007295667,2.880968667,0.944283301,2.884280516,0.279066,0.26038,0.638419266,0.46641299,0.00497,0.3467984,0.826505774,0.3718078,23.185,72.6525,Randesan,1532.631005,0.001537519,5.10E-06,6.547572374,0.127874051,high
grid_0_3,2024,0,3,0,0.333333333,0.745355992,0.304179,0.355021,20.87039,1,0.006025,0.010987,2.41263,0.014599667,0.00087,3.064297,1,3.287527122,0.298154,0.279066,0.859962657,0.638419266,0.017474667,0.342232,0.970148684,0.3959772,23.185,72.6525,Randesan,1532.631005,0.001537519,5.10E-06,6.547572374,0.127874051,high
grid_0_4,2016,0,4,0,0.444444444,0.711458249,0.22271,0.202172,2.651458,0,0,-0.009914,-0.267622,0,-0.009914,-0.267622,0,0,0.22271,0.22271,0,0,0,0.1236548,0,0.209004,23.185,72.6655,Gujarat International Finance Tec-City,2276.388289,0,0,4.445859432,0.078271534,low
grid_0_4,2017,0,4,0,0.444444444,0.711458249,0.249207,0.425023,4.072575,0.169481384,0.026497,0,1.421117,0.0132485,-0.004957,0.5767475,0.463711846,0.680080031,0.22271,0.22271,0,0,0,0.1324012,0.117511082,0.4470328,23.185,72.6655,Gujarat International Finance Tec-City,2276.388289,0,0,3.630870342,0.059036981,low
grid_0_4,2018,0,4,0,0.444444444,0.711458249,0.265888,0.411926,4.500318,0.220493705,0.016681,-0.013097,0.427743,0.014392667,-0.007670333,0.527079333,0.436435023,0.829269751,0.249207,0.22271,0.169481384,0,0,0.1528228,0.14527202,0.43633,23.185,72.6655,Gujarat International Finance Tec-City,2276.388289,0,0,4.36496067,0.076362243,medium
grid_0_4,2019,0,4,0,0.444444444,0.711458249,0.257977,0.364073,4.719466,0.246629137,-0.007911,-0.047853,0.219148,0.011755667,-0.020316667,0.689336,0.525543332,0.956008406,0.265888,0.249207,0.220493705,0.169481384,0.0132485,0.142023,0.214309417,0.3610476,23.185,72.6655,Gujarat International Finance Tec-City,2276.388289,0,0,4.096561432,0.070027754,medium
grid_0_4,2020,0,4,0,0.444444444,0.711458249,0.273666,0.411626,6.168122,0.419394802,0.015689,0.047553,1.448656,0.008153,-0.004465667,0.698515667,0.530584633,1.532500455,0.257977,0.265888,0.246629137,0.220493705,0.014392667,0.1515662,0.29069495,0.437404,23.185,72.6655,Gujarat International Finance Tec-City,2276.388289,0,0,3.158833265,0.047896436,low
grid_0_4,2021,0,4,0,0.444444444,0.711458249,0.282758,0.405471,6.376738,0.444274195,0.009092,-0.006155,0.208616,0.005623333,-0.002151667,0.625473333,0.490471157,1.571211509,0.273666,0.257977,0.419394802,0.246629137,0.011755667,0.1594832,0.437711265,0.4203086,23.185,72.6655,Gujarat International Finance Tec-City,2276.388289,0,0,6.547572374,0.127874051,medium
grid_0_4,2022,0,4,0,0.444444444,0.711458249,0.300533,0.391091,6.926491,0.50983734,0.017775,-0.01438,0.549753,0.014185333,0.009006,0.735675,0.55099184,1.69643814,0.282758,0.273666,0.444274195,0.419394802,0.008153,0.1724448,0.580207904,0.3981814,23.185,72.6655,Gujarat International Finance Tec-City,2276.388289,0,0,6.547572374,0.127874051,medium
grid_0_4,2023,0,4,0,0.444444444,0.711458249,0.30602,0.400248,9.047313,0.762765036,0.005487,0.009157,2.120822,0.010784667,-0.003792667,0.959730333,0.674038814,2.49252514,0.300533,0.282758,0.50983734,0.444274195,0.005623333,0.1816862,0.76331826,0.4223472,23.185,72.6655,Gujarat International Finance Tec-City,2276.388289,0,0,6.547572374,0.127874051,medium
grid_0_4,2024,0,4,0,0.444444444,0.711458249,0.31602,0.412506,11.03655,1,0.01,0.012258,1.989237,0.011087333,0.002345,1.553270667,1,3.164346673,0.30602,0.300533,0.762765036,0.50983734,0.014185333,0.1879486,1,0.450868,23.185,72.6655,Gujarat International Finance Tec-City,2276.388289,0,0,6.547572374,0.127874051,medium
grid_0_5,2016,0,5,0,0.555555556,0.711458249,0.091315,0.226633,2.137153,0,0,-0.006641,-0.096973,0,-0.006641,-0.096973,0,0,0.091315,0.091315,0,0,0,0.0905138,0,0.220011,23.185,72.6785,Sector 1,3123.630477,0,0,1.933160186,0.018969332,low
grid_0_5,2017,0,5,0,0.555555556,0.711458249,0.106218,0.440273,2.78227,0.054262305,0.014903,0,0.645117,0.0074515,-0.0033205,0.274072,0.120025128,0.510853095,0.091315,0.091315,0,0,0,0.0994686,0.13272493,0.4461616,23.185,72.6785,Sector 1,3123.630477,0,0,1.944128752,0.019228201,low
grid_0_5,2018,0,5,0,0.555555556,0.711458249,0.116526,0.439939,2.827511,0.058067632,0.010308,-0.000334,0.045241,0.008403667,-0.002325,0.197795,0.095351148,0.498319115,0.106218,0.091315,0.054262305,0,0,0.1110522,0.186584278,0.4472748,23.185,72.6785,Sector 1,3123.630477,0,0,1.967768788,0.019786129,low
grid_0_5,2019,0,5,0,0.555555556,0.711458249,0.11985,0.406704,3.006279,0.073104228,0.003324,-0.033235,0.178768,0.009511667,-0.011189667,0.289708667,0.125083255,0.609959262,0.116526,0.106218,0.058067632,0.054262305,0.0074515,0.1100322,0.241176568,0.3892528,23.185,72.6785,Sector 1,3123.630477,0,0,2.151313782,0.024117974,low
grid_0_5,2020,0,5,0,0.555555556,0.711458249,0.128688,0.438715,3.815907,0.141203939,0.008838,0.032011,0.809628,0.00749,-0.000519333,0.344545667,0.142821853,1.097249483,0.11985,0.116526,0.073104228,0.058067632,0.008403667,0.1134694,0.302913376,0.4394918,23.185,72.6785,Sector 1,3123.630477,0,0,1.969363332,0.019823762,low
grid_0_5,2021,0,5,0,0.555555556,0.711458249,0.148404,0.41816,5.04275,0.244396583,0.019716,-0.020555,1.226843,0.010626,-0.007259667,0.738413,0.270229518,1.646821756,0.128688,0.11985,0.141203939,0.073104228,0.009511667,0.119199,0.443089193,0.4287822,23.185,72.6785,Sector 1,3123.630477,0,0,6.547572374,0.127874051,medium
grid_0_5,2022,0,5,0,0.555555556,0.711458249,0.161017,0.404262,5.629136,0.293718885,0.012613,-0.013898,0.586386,0.013722333,-0.000814,0.874285667,0.314181422,1.824136961,0.148404,0.128688,0.244396583,0.141203939,0.00749,0.1288448,0.487430554,0.4151708,23.185,72.6785,Sector 1,3123.630477,0,0,6.547572374,0.127874051,medium
grid_0_5,2023,0,5,0,0.555555556,0.711458249,0.178661,0.410285,8.033655,0.495968621,0.017644,0.006023,2.404519,0.016657667,-0.009476667,1.405916,0.486152473,2.776016284,0.161017,0.148404,0.293718885,0.244396583,0.010626,0.1340496,0.765503086,0.442282,23.185,72.6785,Sector 1,3123.630477,0,0,6.547572374,0.127874051,medium
grid_0_5,2024,0,5,0,0.555555556,0.711458249,0.211338,0.416529,14.026014,1,0.032677,0.006244,5.992359,0.020978,-0.000543667,2.994421333,1,4.731734323,0.178661,0.161017,0.495968621,0.293718885,0.013722333,0.1352684,1,0.4554868,23.185,72.6785,Sector 1,3123.630477,0,0,6.547572374,0.127874051,medium
grid_0_6,2016,0,6,0,0.666666667,0.745355992,0.067945,0.235242,1.439898,0,0,-0.002546,-0.207241,0,-0.002546,-0.207241,0,0,0.067945,0.067945,0,0,0,0.0937318,0,0.2290124,23.185,72.6915,sector 2,4131.740469,0,0,2.344826937,0.028685077,low
grid_0_6,2017,0,6,0,0.666666667,0.745355992,0.074667,0.445286,1.938718,0.109090973,0.006722,0,0.49882,0.003361,-0.001273,0.1457895,0.333030676,1.461013724,0.067945,0.067945,0,0,0,0.1063102,0.070464315,0.4336398,23.185,72.6915,sector 2,4131.740469,0,0,2.31505084,0.027982331,low
grid_0_6,2018,0,6,0,0.666666667,0.745355992,0.086951,0.454281,2.115429,0.147737328,0.012284,0.008995,0.176711,0.006335333,0.002149667,0.156096667,0.342753923,1.699067622,0.074667,0.067945,0.109090973,0,0,0.1143378,0.108204737,0.4477808,23.185,72.6915,sector 2,4131.740469,0,0,2.539889336,0.033288743,low
grid_0_6,2019,0,6,0,0.666666667,0.745355992,0.097194,0.421913,2.289649,0.185838906,0.010243,-0.032368,0.17422,0.009749667,-0.007791,0.283250333,0.462704101,1.912021258,0.086951,0.074667,0.147737328,0.109090973,0.003361,0.1188902,0.137630973,0.3994456,23.185,72.6915,sector 2,4131.740469,0,0,2.701272249,0.037097541,low
grid_0_6,2020,0,6,0,0.666666667,0.745355992,0.092837,0.43316,2.395994,0.209096353,-0.004357,0.011247,0.106345,0.006056667,-0.004042,0.152425333,0.339290577,2.252271189,0.097194,0.086951,0.185838906,0.147737328,0.006335333,0.120624,0.166245719,0.4279232,23.185,72.6915,sector 2,4131.740469,0,0,2.924293756,0.04236107,low
grid_0_6,2021,0,6,0,0.666666667,0.745355992,0.108725,0.427287,3.654493,0.484327659,0.015888,-0.005873,1.258499,0.007258,-0.008998,0.513021333,0.679458153,4.454570744,0.092837,0.097194,0.209096353,0.185838906,0.009749667,0.1283492,0.509553147,0.4176402,23.185,72.6915,sector 2,4131.740469,0,0,6.547572374,0.127874051,low
grid_0_6,2022,0,6,0,0.666666667,0.745355992,0.11493,0.418668,3.906692,0.539483094,0.006205,-0.008619,0.252199,0.005912,-0.001081667,0.539014333,0.703978602,4.693973723,0.108725,0.092837,0.484327659,0.209096353,0.006056667,0.1382952,0.518206417,0.4088004,23.185,72.6915,sector 2,4131.740469,0,0,6.547572374,0.127874051,low
grid_0_6,2023,0,6,0,0.666666667,0.745355992,0.13062,0.434404,4.954433,0.768622032,0.01569,0.015736,1.047741,0.012594333,0.000414667,0.852813,1,5.884367993,0.11493,0.108725,0.539483094,0.484327659,0.007258,0.1502978,0.787431587,0.4368592,23.185,72.6915,sector 2,4131.740469,0,0,6.547572374,0.127874051,medium
grid_0_6,2024,0,6,0,0.666666667,0.745355992,0.131738,0.434326,6.012412,1,0.001118,-7.80E-05,1.057979,0.007671,0.002346333,0.785973,0.936946608,7.590766592,0.13062,0.11493,0.768622032,0.539483094,0.005912,0.1555342,0.960040055,0.4348308,23.185,72.6915,sector 2,4131.740469,0,0,6.547572374,0.127874051,medium
grid_0_7,2016,0,7,0,0.777777778,0.808901099,0.201922,0.212975,1.928424,0,0,-0.004484,0.012174,0,-0.004484,0.012174,0,0,0.201922,0.201922,0,0,0,0.089378,0,0.2305672,23.185,72.7045,sector 2,5243.982013,0,0,5.73734951,0.108751985,low
grid_0_7,2017,0,7,0,0.777777778,0.808901099,0.227579,0.380891,2.531732,0.077724692,0.025657,0,0.603308,0.0128285,-0.002242,0.307741,0.136963815,0.341526902,0.201922,0.201922,0,0,0,0.1073972,0.078177648,0.4226844,23.185,72.7045,sector 2 ,5243.982013,0,0,6.120383739,0.117791974,low
grid_0_7,2018,0,7,0,0.777777778,0.808901099,0.243726,0.387504,2.746216,0.105356852,0.016147,0.006613,0.214484,0.013934667,0.000709667,0.276655333,0.12255892,0.432274027,0.227579,0.201922,0.077724692,0,0,0.1173144,0.116521572,0.4360886,23.185,72.7045,sector 2 ,5243.982013,0,0,6.082674503,0.116901999,low
grid_0_7,2019,0,7,0,0.777777778,0.808901099,0.253761,0.353195,3.032336,0.142217939,0.010035,-0.034309,0.28612,0.017279667,-0.009232,0.367970667,0.164873849,0.560438282,0.243726,0.227579,0.105356852,0.077724692,0.0128285,0.1244086,0.149771922,0.407651,23.185,72.7045,sector 2 ,5243.982013,0,0,6.547138691,0.127863816,medium
