grid_id,area_name,year,center_lat,center_lon,ndvi_mean,built_percent,nighttime_mean,growth_class
grid_2_5,Sector 9,2022,23.205,72.6785,0.370211,0.266573,5.668965,low
grid_2_5,Sector 9,2023,23.205,72.6785,0.366206,0.272924,7.639916,low
grid_2_5,Sector 9,2024,23.205,72.6785,0.405511,0.269441,8.221592,low
grid_2_6,Sector 11,2016,23.205,72.6915,0.227251,0.114565,3.755564,low
grid_2_6,Sector 11,2017,23.205,72.6915,0.41414,0.133027,4.451097,low
grid_2_6,Sector 11,2018,23.205,72.6915,0.448148,0.141299,5.135034,low
grid_2_6,Sector 11,2019,23.205,72.6915,0.440821,0.151588,6.1052,medium
grid_2_6,Sector 11,2020,23.205,72.6915,0.441901,0.15812,5.595007,low
grid_2_6,Sector 11,2021,23.205,72.6915,0.426707,0.17107,6.161465,medium
grid_2_6,Sector 11,2022,23.205,72.6915,0.436663,0.16888,6.925172,low
grid_2_6,Sector 11,2023,23.205,72.6915,0.467024,0.180083,10.278704,medium
grid_2_6,Sector 11,2024,23.205,72.6915,0.455459,0.175494,11.096396,medium
grid_2_7,Sector 14,2016,23.205,72.7045,0.242122,0.075366,1.669546,low
grid_2_7,Sector 14,2017,23.205,72.7045,0.425988,0.081781,1.997959,low
grid_2_7,Sector 14,2018,23.205,72.7045,0.461546,0.081965,2.326453,low
grid_2_7,Sector 14,2019,23.205,72.7045,0.429317,0.093361,2.524627,low
grid_2_7,Sector 14,2020,23.205,72.7045,0.457049,0.088242,2.424977,low
grid_2_7,Sector 14,2021,23.205,72.7045,0.442048,0.095266,4.095555,low
grid_2_7,Sector 14,2022,23.205,72.7045,0.43582,0.103402,4.059792,low
grid_2_7,Sector 14,2023,23.205,72.7045,0.483679,0.107454,4.708585,low
grid_2_7,Sector 14,2024,23.205,72.7045,0.443184,0.100514,5.021412,low
grid_2_8,Sector 15,2016,23.205,72.7175,0.235581,0.188359,3.213859,low
grid_2_8,Sector 15,2017,23.205,72.7175,0.421052,0.214946,2.96977,low
grid_2_8,Sector 15,2018,23.205,72.7175,0.418336,0.224716,3.922419,medium
grid_2_8,Sector 15,2019,23.205,72.7175,0.388503,0.235657,4.108359,medium
grid_2_8,Sector 15,2020,23.205,72.7175,0.395884,0.225255,3.153929,low
grid_2_8,Sector 15,2021,23.205,72.7175,0.417964,0.22668,9.920575,low
grid_2_8,Sector 15,2022,23.205,72.7175,0.410841,0.231614,12.073594,medium
grid_2_8,Sector 15,2023,23.205,72.7175,0.440364,0.253404,12.386399,medium
grid_2_8,Sector 15,2024,23.205,72.7175,0.420452,0.251519,11.091106,medium
grid_2_9,por,2016,23.205,72.7305,0.242931,0.103774,1.441855,low
grid_2_9,por,2017,23.205,72.7305,0.452092,0.122924,1.631225,low
grid_2_9,por,2018,23.205,72.7305,0.459539,0.12889,1.912728,low
grid_2_9,por,2019,23.205,72.7305,0.448431,0.132787,2.055523,low
grid_2_9,por,2020,23.205,72.7305,0.45171,0.133202,2.033939,low
grid_2_9,por,2021,23.205,72.7305,0.4641,0.144156,3.897404,low
grid_2_9,por,2022,23.205,72.7305,0.469329,0.146412,4.580135,low
grid_2_9,por,2023,23.205,72.7305,0.501381,0.155794,4.879172,low
grid_2_9,por,2024,23.205,72.7305,0.480497,0.15502,4.908175,medium
grid_3_0,Sector 16,2016,23.215,72.6135,0.190077,0.094937,3.510714,low
grid_3_0,Sector 16,2017,23.215,72.6135,0.388781,0.111988,4.328634,medium
grid_3_0,Sector 16,2018,23.215,72.6135,0.374226,0.117648,4.517584,medium
grid_3_0,Sector 16,2019,23.215,72.6135,0.327627,0.148881,6.176014,medium
grid_3_0,Sector 16,2020,23.215,72.6135,0.368733,0.150536,7.190145,medium
grid_3_0,Sector 16,2021,23.215,72.6135,0.363697,0.157093,7.945268,medium
grid_3_0,Sector 16,2022,23.215,72.6135,0.34765,0.180892,9.086401,medium
grid_3_0,Sector 16,2023,23.215,72.6135,0.374779,0.211647,10.538884,high
grid_3_0,Sector 16,2024,23.215,72.6135,0.37884,0.208279,12.581372,high
grid_3_1,Sector 5A,2016,23.215,72.6265,0.165108,0.505553,8.550868,high
grid_3_1,Sector 5A,2017,23.215,72.6265,0.326629,0.547223,11.94996,high
grid_3_1,Sector 5A,2018,23.215,72.6265,0.328094,0.54802,10.596598,high
grid_3_1,Sector 5A,2019,23.215,72.6265,0.284449,0.538515,12.145615,high
grid_3_1,Sector 5A,2020,23.215,72.6265,0.316172,0.539726,12.155546,high
grid_3_1,Sector 5A,2021,23.215,72.6265,0.307758,0.555567,12.826043,high
grid_3_1,Sector 5A,2022,23.215,72.6265,0.31111,0.562985,12.561877,high
grid_3_1,Sector 5A,2023,23.215,72.6265,0.331184,0.56339,14.189937,high
grid_3_1,Sector 5A,2024,23.215,72.6265,0.332041,0.557877,15.125226,high
grid_3_2,Sector 7/B,2016,23.215,72.6395,0.159249,0.567818,16.520534,high
grid_3_2,Sector 7/B,2017,23.215,72.6395,0.30478,0.612074,19.538477,high
grid_3_2,Sector 7/B,2018,23.215,72.6395,0.307961,0.616553,16.851908,high
grid_3_2,Sector 7/B,2019,23.215,72.6395,0.265528,0.609322,19.765517,high
grid_3_2,Sector 7/B,2020,23.215,72.6395,0.285801,0.595076,18.065097,high
grid_3_2,Sector 7/B,2021,23.215,72.6395,0.280939,0.614468,18.233168,high
grid_3_2,Sector 7/B,2022,23.215,72.6395,0.277793,0.621036,21.389287,high
grid_3_2,Sector 7/B,2023,23.215,72.6395,0.286786,0.625232,24.676837,high
grid_3_2,Sector 7/B,2024,23.215,72.6395,0.28844,0.618886,28.481059,high
grid_3_3,Sector 10A,2016,23.215,72.6525,0.183525,0.420019,21.874817,high
grid_3_3,Sector 10A,2017,23.215,72.6525,0.355757,0.462731,27.235957,high
grid_3_3,Sector 10A,2018,23.215,72.6525,0.359396,0.482191,22.107536,high
grid_3_3,Sector 10A,2019,23.215,72.6525,0.303916,0.467728,25.499068,high
grid_3_3,Sector 10A,2020,23.215,72.6525,0.340371,0.473793,24.694046,high
grid_3_3,Sector 10A,2021,23.215,72.6525,0.334941,0.484714,22.59784,high
grid_3_3,Sector 10A,2022,23.215,72.6525,0.333849,0.501157,25.57257,high
grid_3_3,Sector 10A,2023,23.215,72.6525,0.347263,0.500806,26.754852,high
grid_3_3,Sector 10A,2024,23.215,72.6525,0.347165,0.510777,30.236526,high
grid_3_4,Sector 18,2016,23.215,72.6655,0.241383,0.188458,13.562323,medium
grid_3_4,Sector 18,2017,23.215,72.6655,0.543842,0.199643,15.321867,high
grid_3_4,Sector 18,2018,23.215,72.6655,0.543615,0.230243,13.057758,high
grid_3_4,Sector 18,2019,23.215,72.6655,0.41976,0.202575,16.320577,high
grid_3_4,Sector 18,2020,23.215,72.6655,0.527562,0.205726,16.613178,medium
grid_3_4,Sector 18,2021,23.215,72.6655,0.488746,0.203329,16.251969,medium
grid_3_4,Sector 18,2022,23.215,72.6655,0.490678,0.214688,17.836226,high
grid_3_4,Sector 18,2023,23.215,72.6655,0.50821,0.212612,18.269519,high
grid_3_4,Sector 18,2024,23.215,72.6655,0.549382,0.209821,19.957132,high
grid_3_5,sector 20,2016,23.215,72.6785,0.184182,0.123431,6.617749,low
grid_3_5,sector 20,2017,23.215,72.6785,0.313224,0.130237,7.354672,low
grid_3_5,sector 20,2018,23.215,72.6785,0.310817,0.147514,7.856796,medium
grid_3_5,sector 20,2019,23.215,72.6785,0.283245,0.124752,9.056849,medium
grid_3_5,sector 20,2020,23.215,72.6785,0.272714,0.135415,8.678853,medium
grid_3_5,sector 20,2021,23.215,72.6785,0.367737,0.140406,9.327222,low
grid_3_5,sector 20,2022,23.215,72.6785,0.383227,0.145685,9.633911,medium
grid_3_5,sector 20,2023,23.215,72.6785,0.272101,0.146532,11.137565,medium
grid_3_5,sector 20,2024,23.215,72.6785,0.300432,0.139632,10.920829,medium
grid_3_6,Sector 21,2016,23.215,72.6915,0.194573,0.2068,5.025287,low
grid_3_6,Sector 21,2017,23.215,72.6915,0.379968,0.248409,5.789257,medium
grid_3_6,Sector 21,2018,23.215,72.6915,0.349168,0.295532,7.058433,high
